Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,378,1,1,0,7,"0,86%"
Tarapacá,975,130,108,22,4,"2,23%"
Antofagasta,1.505,76,60,16,13,"3,44%"
Atacama,149,3,2,1,0,"0,34%"
Coquimbo,194,7,1,6,2,"0,44%"
Valparaíso,1.474,109,85,24,29,"3,37%"
Metropolitana,32.684,1.890,1.671,219,270,"74,65%"
O’Higgins,366,37,22,15,5,"0,84%"
Maule,573,22,17,5,14,"1,31%"
Ñuble,942,21,14,7,20,"2,15%"
Biobío,1.099,25,19,6,9,"2,51%"
Araucanía,1.606,19,13,6,44,"3,67%"
De los Ríos,220,1,1,0,6,"0,50%"
De los Lagos,647,3,2,1,11,"1,48%"
Aysén,8,0,0,0,0,"0,02%"
Magallanes,961,9,8,1,16,"2,20%"
Total,43.781,2.353,2.024,329,450,100%
