Fecha,Casos totales acumulados,Casos activos,Casos recuperados,Fallecidos,Casos nuevos totales,Nuevos recuperados,Casos nuevos con síntomas,Casos nuevos sin síntomas,% Aumento diario
01-05-2020,17.008,7.756,9.018,234,985,438,882,103,"6,1%"
02-05-2020,18.435,8.615,9.573,247,1.427,555,1.246,181,"8,4%"
03-05-2020,19.663,9.362,10.041,260,1.228,468,1.112,116,"6,7%"
04-05-2020,20.643,9.958,10.415,270,980,374,876,104,"5,0%"
05-05-2020,22.016,11.031,10.710,275,1.373,295,1.317,56,"6,7%"
06-05-2020,23.048,11.578,11.189,281,1.032,479,893,139,"4,7%"
07-05-2020,24.581,12.632,11.664,285,1.533,475,1.343,190,"6,7%"
08-05-2020,25.972,13.518,12.160,294,1.391,496,1.183,208,"5,7%"
09-05-2020,27.219,14.248,12.667,304,1.247,507,1.004,243,"4,8%"
10-05-2020,28.866,15.438,13.116,312,1.647,449,1.406,241,"6,1%"
11-05-2020,30.063,16.135,13.605,323,1.197,489,975,222,"4,1%"
12-05-2020,31.721,17.261,14.125,335,1.658,520,1.479,179,"5,5%"
13-05-2020,34.381,19.170,14.865,346,2.660,740,2.152,508,"8,4%"
14-05-2020,37.040,21.017,15.655,368,2.659,790,2.301,358,"7,7%"
15-05-2020,39.542,22.534,16.614,394,2.502,959,2.112,390,"6,8%"
16-05-2020,41.428,22.993,18.014,421,1.886,1.400,1.573,313,"4,8%"
17-05-2020,43.781,24.118,19.213,450,2.353,1.199,2.024,329,"5,7%"
