Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos totales, % Total
Arica - Parinacota,819,37,33,4,9,"0,64%"
Tarapacá,3.094,129,104,25,30,"2,42%"
Antofagasta,3.033,109,105,4,47,"2,37%"
Atacama,281,12,11,1,0,"0,22%"
Coquimbo,898,66,53,13,5,"0,70%"
Valparaíso,4.580,314,295,19,91,"3,59%"
Metropolitana,103.194,4.128,3.945,183,1.184,"80,78%"
O’Higgins,1.111,95,85,10,25,"0,87%"
Maule,1.969,135,87,48,24,"1,54%"
Ñuble,1.470,41,34,7,24,"1,15%"
Biobío,2.490,111,83,28,13,"1,95%"
Araucanía,2.321,33,26,7,49,"1,82%"
De los Ríos,400,10,3,7,8,"0,31%"
De los Lagos,985,17,15,2,13,"0,77%"
Aysén,19,0,0,0,0,"0,01%"
Magallanes,1.081,9,9,0,19,"0,85%"
Total,127.745,5.246,4.888,358,1.541,100%
