comuna,activos
Arica,408
Camarones,0
General Lagos,0
Putre,1
Alto Hospicio,218
Camiña,8
Colchane,24
Huara,9
Iquique,495
Pica,17
Pozo Almonte,64
Antofagasta,780
Calama,923
María Elena,32
Mejillones,34
Ollagüe,4
San Pedro de Atacama,35
Sierra Gorda,2
Taltal,10
Tocopilla,42
Alto del Carmen,1
Caldera,8
Chañaral,12
Copiapó,196
Diego de Almagro,7
Freirina,12
Huasco,5
Tierra Amarilla,17
Vallenar,80
Andacollo,10
Canela,5
Combarbalá,7
Coquimbo,235
Illapel,25
La Higuera,1
La Serena,238
Los Vilos,17
Monte Patria,33
Ovalle,180
Paiguano,0
Punitaqui,9
Río Hurtado,0
Salamanca,4
Vicuña,3
Algarrobo,10
Cabildo,55
Calera,90
Calle Larga,36
Cartagena,26
Casablanca,39
Catemu,15
Concón,61
El Quisco,10
El Tabo,20
Hijuelas,24
Isla de Pascua,0
Juan Fernández,0
La Cruz,15
La Ligua,44
Limache,124
Llaillay,40
Los Andes,132
Nogales,18
Olmué,12
Panquehue,16
Papudo,11
Petorca,13
Puchuncaví,27
Putaendo,38
Quillota,263
Quilpué,243
Quintero,53
Rinconada,31
San Antonio,117
San Esteban,32
San Felipe,154
Santa María,39
Santo Domingo,13
Valparaíso,618
Villa Alemana,220
Viña del Mar,552
Zapallar,18
Alhué,18
Buin,239
Calera de Tango,86
Cerrillos,281
Cerro Navia,558
Colina,407
Conchalí,544
Curacaví,88
El Bosque,634
El Monte,163
Estación Central,535
Huechuraba,332
Independencia,388
Isla de Maipo,95
La Cisterna,307
La Florida,1265
La Granja,628
La Pintana,780
La Reina,216
Lampa,308
Las Condes,418
Lo Barnechea,142
Lo Espejo,430
Lo Prado,431
Macul,455
Maipú,1460
María Pinto,40
Melipilla,483
Ñuñoa,519
Padre Hurtado,207
Paine,259
Pedro Aguirre Cerda,391
Peñaflor,372
Peñalolén,1004
Pirque,106
Providencia,246
Pudahuel,885
Puente Alto,2152
Quilicura,750
Quinta Normal,473
Recoleta,562
Renca,885
San Bernardo,1248
San Joaquín,398
San José de Maipo,57
San Miguel,518
San Pedro,36
San Ramón,346
Santiago,1103
Talagante,231
Tiltil,64
Vitacura,104
Chépica,19
Chimbarongo,23
Codegua,32
Coinco,21
Coltauco,27
Doñihue,77
Graneros,87
La Estrella,9
Las Cabras,39
Litueche,21
Lolol,13
Machalí,277
Malloa,16
Marchihue,3
Mostazal,41
Nancagua,8
Navidad,11
Olivar,34
Palmilla,7
Paredones,1
Peralillo,2
Peumo,8
Pichidegua,23
Pichilemu,7
Placilla,4
Pumanque,1
Quinta de Tilcoco,22
Rancagua,1344
Rengo,164
Requínoa,98
San Fernando,77
San Vicente,69
Santa Cruz,18
Cauquenes,68
Chanco,10
Colbún,31
Constitución,61
Curepto,12
Curicó,308
Empedrado,15
Hualañé,15
Licantén,5
Linares,112
Longaví,38
Maule,61
Molina,62
Parral,39
Pelarco,5
Pelluhue,10
Pencahue,4
Rauco,6
Retiro,14
Río Claro,18
Romeral,69
Sagrada Familia,13
San Clemente,91
San Javier,45
San Rafael,20
Talca,372
Teno,41
Vichuquén,0
Villa Alegre,9
Yerbas Buenas,9
Bulnes,28
Chillán,249
Chillán Viejo,31
Cobquecura,0
Coelemu,22
Coihueco,23
El Carmen,14
Ninhue,14
Ñiquén,7
Pemuco,32
Pinto,14
Portezuelo,4
Quillón,19
Quirihue,16
Ránquil,5
San Carlos,70
San Fabián,0
San Ignacio,42
San Nicolás,10
Treguaco,1
Yungay,21
Alto Biobío,12
Antuco,20
Arauco,100
Cabrero,61
Cañete,11
Chiguayante,80
Concepción,336
Contulmo,30
Coronel,290
Curanilahue,24
Florida,14
Hualpén,128
Hualqui,59
Laja,26
Lebu,9
Los Álamos,50
Los Ángeles,198
Lota,90
Mulchén,23
Nacimiento,41
Negrete,29
Penco,70
Quilaco,4
Quilleco,4
San Pedro de la Paz,155
San Rosendo,9
Santa Bárbara,30
Santa Juana,17
Talcahuano,185
Tirúa,15
Tomé,80
Tucapel,51
Yumbel,43
Angol,53
Carahue,9
Cholchol,0
Collipulli,9
Cunco,7
Curacautín,0
Curarrehue,0
Ercilla,0
Freire,8
Galvarino,8
Gorbea,0
Lautaro,13
Loncoche,12
Lonquimay,3
Los Sauces,1
Lumaco,12
Melipeuco,0
Nueva Imperial,12
Padre Las Casas,3
Perquenco,8
Pitrufquén,17
Pucón,9
Purén,6
Renaico,20
Saavedra,0
Temuco,47
Teodoro Schmidt,10
Toltén,0
Traiguén,11
Victoria,1
Vilcún,9
Villarrica,26
Corral,2
Futrono,2
La Unión,12
Lago Ranco,4
Lanco,4
Los Lagos,4
Máfil,1
Mariquina,2
Paillaco,3
Panguipulli,13
Río Bueno,5
Valdivia,65
Ancud,8
Calbuco,33
Castro,0
Chaitén,0
Chonchi,0
Cochamó,4
Curaco de Vélez,8
Dalcahue,0
Fresia,2
Frutillar,32
Futaleufú,0
Hualaihué,7
Llanquihue,38
Los Muermos,12
Maullín,4
Osorno,20
Palena,0
Puerto Montt,156
Puerto Octay,0
Puerto Varas,15
Puqueldón,0
Purranque,1
Puyehue,0
Queilén,0
Quellón,3
Quemchi,0
Quinchao,0
Río Negro,1
San Juan de la Costa,0
San Pablo,0
Aisén,4
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,12
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,19
Porvenir,0
Primavera,1
Punta Arenas,113
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
