comuna,activos
Arica,103
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,27
Camiña,0
Colchane,0
Huara,0
Iquique,38
Pica,9
Pozo Almonte,0
Antofagasta,140
Calama,25
María Elena,8
Mejillones,38
Ollagüe,0
San Pedro de Atacama,0
Sierra Gorda,0
Taltal,0
Tocopilla,0
Alto del Carmen,0
Caldera,0
Chañaral,0
Copiapó,0
Diego de Almagro,0
Freirina,1
Huasco,0
Tierra Amarilla,1
Vallenar,12
Andacollo,0
Canela,0
Combarbalá,0
Coquimbo,4
Illapel,0
La Higuera,0
La Serena,5
Los Vilos,0
Monte Patria,0
Ovalle,0
Paiguano,0
Punitaqui,1
Río Hurtado,0
Salamanca,1
Vicuña,0
Algarrobo,1
Cabildo,3
Calera,9
Calle Larga,1
Cartagena,4
Casablanca,0
Catemu,0
Concón,4
El Quisco,3
El Tabo,2
Hijuelas,0
Isla de Pascua,0
Juan Fernández,0
La Cruz,0
La Ligua,0
Limache,4
Llaillay,0
Los Andes,0
Nogales,0
Olmué,0
Panquehue,0
Papudo,0
Petorca,0
Puchuncaví,0
Putaendo,2
Quillota,2
Quilpué,3
Quintero,6
Rinconada,0
San Antonio,20
San Esteban,3
San Felipe,0
Santa María,0
Santo Domingo,3
Valparaíso,11
Villa Alemana,2
Viña del Mar,17
Zapallar,0
Alhué,0
Buin,16
Calera de Tango,5
Cerrillos,29
Cerro Navia,50
Colina,20
Conchalí,49
Curacaví,0
El Bosque,66
El Monte,4
Estación Central,95
Huechuraba,19
Independencia,159
Isla de Maipo,2
La Cisterna,30
La Florida,112
La Granja,33
La Pintana,96
La Reina,24
Lampa,23
Las Condes,37
Lo Barnechea,46
Lo Espejo,40
Lo Prado,48
Macul,45
Maipú,118
María Pinto,0
Melipilla,24
Ñuñoa,83
Padre Hurtado,9
Paine,3
Pedro Aguirre Cerda,48
Peñaflor,22
Peñalolén,96
Pirque,6
Providencia,29
Pudahuel,56
Puente Alto,266
Quilicura,113
Quinta Normal,60
Recoleta,116
Renca,72
San Bernardo,162
San Joaquín,59
San José de Maipo,3
San Miguel,55
San Pedro,2
San Ramón,55
Santiago,203
Talagante,
Tiltil,
Vitacura,
Chépica,0
Chimbarongo,0
Codegua,0
Coinco,1
Coltauco,0
Doñihue,1
Graneros,2
La Estrella,0
Las Cabras,2
Litueche,3
Lolol,0
Machalí,5
Malloa,0
Marchihue,0
Mostazal,0
Nancagua,0
Navidad,0
Olivar,0
Palmilla,0
Paredones,0
Peralillo,0
Peumo,0
Pichidegua,0
Pichilemu,0
Placilla,0
Pumanque,0
Quinta de Tilcoco,0
Rancagua,11
Rengo,5
Requínoa,2
San Fernando,2
San Vicente,0
Santa Cruz,1
Cauquenes,6
Chanco,2
Colbún,0
Constitución,8
Curepto,3
Curicó,9
Empedrado,0
Hualañé,0
Licantén,1
Linares,4
Longaví,1
Maule,12
Molina,2
Parral,1
Pelarco,0
Pelluhue,0
Pencahue,2
Rauco,0
Retiro,0
Río Claro,1
Romeral,9
Sagrada Familia,1
San Clemente,6
San Javier,5
San Rafael,1
Talca,72
Teno,0
Vichuquén,0
Villa Alegre,1
Yerbas Buenas,0
Bulnes,7
Chillán,31
Chillán Viejo,3
Cobquecura,0
Coelemu,0
Coihueco,12
El Carmen,0
Ninhue,1
Ñiquén,0
Pemuco,0
Pinto,1
Portezuelo,0
Quillón,1
Quirihue,1
Ránquil,0
San Carlos,5
San Fabián,1
San Ignacio,1
San Nicolás,0
Treguaco,0
Yungay,4
Alto Biobío,0
Antuco,0
Arauco,0
Cabrero,8
Cañete,0
Chiguayante,13
Concepción,23
Contulmo,0
Coronel,2
Curanilahue,1
Florida,0
Hualpén,11
Hualqui,7
Laja,6
Lebu,0
Los Álamos,0
Los Ángeles,3
Lota,0
Mulchén,0
Nacimiento,0
Negrete,0
Penco,7
Quilaco,0
Quilleco,0
San Pedro de la Paz,10
San Rosendo,0
Santa Bárbara,0
Santa Juana,1
Talcahuano,24
Tirúa,0
Tomé,10
Tucapel,0
Yumbel,1
Angol,38
Carahue,6
Cholchol,0
Collipulli,1
Cunco,0
Curacautín,1
Curarrehue,0
Ercilla,4
Freire,2
Galvarino,0
Gorbea,2
Lautaro,7
Loncoche,1
Lonquimay,0
Los Sauces,0
Lumaco,1
Melipeuco,0
Nueva Imperial,8
Padre Las Casas,21
Perquenco,2
Pitrufquén,1
Pucón,3
Purén,0
Renaico,2
Saavedra,6
Temuco,59
Teodoro Schmidt,1
Toltén,0
Traiguén,1
Victoria,40
Vilcún,2
Villarrica,0
Corral,0
Futrono,0
La Unión,7
Lago Ranco,0
Lanco,1
Los Lagos,0
Máfil,1
Mariquina,0
Paillaco,0
Panguipulli,0
Río Bueno,2
Valdivia,5
Ancud,4
Calbuco,1
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,0
Fresia,0
Frutillar,0
Futaleufú,0
Hualaihué,0
Llanquihue,0
Los Muermos,0
Maullín,0
Osorno,24
Palena,0
Puerto Montt,4
Puerto Octay,3
Puerto Varas,0
Puqueldón,0
Purranque,1
Puyehue,1
Queilén,0
Quellón,0
Quemchi,0
Quinchao,0
Río Negro,1
San Juan de la Costa,9
San Pablo,2
Aisén,0
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,0
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,0
Porvenir,2
Primavera,0
Punta Arenas,126
Río Verde,0
San Gregorio,0
Timaukel,0
Torres del Paine,0
