comuna,confirmados
Arica,3372
Camarones,13
General Lagos,0
Putre,30
Alto Hospicio,2313
Camiña,43
Colchane,79
Huara,125
Iquique,4198
Pica,192
Pozo Almonte,546
Antofagasta,6378
Calama,5884
María Elena,301
Mejillones,443
Ollagüe,21
San Pedro de Atacama,219
Sierra Gorda,60
Taltal,113
Tocopilla,253
Alto del Carmen,10
Caldera,59
Chañaral,38
Copiapó,1171
Diego de Almagro,49
Freirina,46
Huasco,26
Tierra Amarilla,116
Vallenar,418
Andacollo,49
Canela,20
Combarbalá,32
Coquimbo,1779
Illapel,239
La Higuera,20
La Serena,1575
Los Vilos,79
Monte Patria,248
Ovalle,1093
Paiguano,9
Punitaqui,76
Río Hurtado,23
Salamanca,81
Vicuña,98
Algarrobo,107
Cabildo,237
Calera,564
Calle Larga,235
Cartagena,162
Casablanca,156
Catemu,102
Concón,430
El Quisco,151
El Tabo,176
Hijuelas,152
Isla de Pascua,5
Juan Fernández,0
La Cruz,146
La Ligua,282
Limache,610
Llaillay,288
Los Andes,917
Nogales,125
Olmué,116
Panquehue,88
Papudo,71
Petorca,67
Puchuncaví,144
Putaendo,193
Quillota,1209
Quilpué,1278
Quintero,344
Rinconada,157
San Antonio,1168
San Esteban,197
San Felipe,1012
Santa María,205
Santo Domingo,138
Valparaíso,3310
Villa Alemana,1206
Viña del Mar,3179
Zapallar,57
Alhué,160
Buin,2185
Calera de Tango,538
Cerrillos,2850
Cerro Navia,6063
Colina,4397
Conchalí,5854
Curacaví,833
El Bosque,6055
El Monte,1093
Estación Central,5922
Huechuraba,3571
Independencia,6179
Isla de Maipo,753
La Cisterna,3012
La Florida,12936
La Granja,6701
La Pintana,9245
La Reina,2086
Lampa,3312
Las Condes,5494
Lo Barnechea,3039
Lo Espejo,3991
Lo Prado,4572
Macul,4633
Maipú,13656
María Pinto,327
Melipilla,3571
Ñuñoa,5198
Padre Hurtado,1992
Paine,1749
Pedro Aguirre Cerda,4052
Peñaflor,2663
Peñalolén,11136
Pirque,1035
Providencia,2971
Pudahuel,9265
Puente Alto,21568
Quilicura,8555
Quinta Normal,5527
Recoleta,8067
Renca,7589
San Bernardo,10426
San Joaquín,4689
San José de Maipo,585
San Miguel,4942
San Pedro,213
San Ramón,4296
Santiago,14142
Talagante,1537
Tiltil,527
Vitacura,1420
Chépica,135
Chimbarongo,157
Codegua,170
Coinco,99
Coltauco,149
Doñihue,357
Graneros,419
La Estrella,33
Las Cabras,181
Litueche,74
Lolol,45
Machalí,891
Malloa,89
