comuna,fallecidos
Arica,52
Camarones,0
General Lagos,0
Putre,0
Alto Hospicio,44
Camiña,2
Colchane,2
Huara,4
Iquique,97
Pica,1
Pozo Almonte,10
Antofagasta,121
Calama,186
María Elena,11
Mejillones,4
Ollagüe,0
San Pedro de Atacama,7
Sierra Gorda,0
Taltal,2
Tocopilla,7
Alto del Carmen,0
Caldera,0
Chañaral,0
Copiapó,9
Diego de Almagro,3
Freirina,0
Huasco,0
Tierra Amarilla,0
Vallenar,0
Andacollo,1
Canela,1
Combarbalá,0
Coquimbo,13
Illapel,1
La Higuera,0
La Serena,17
Los Vilos,2
Monte Patria,3
Ovalle,21
Paiguano,0
Punitaqui,4
Río Hurtado,0
Salamanca,1
Vicuña,0
Algarrobo,7
Cabildo,17
Calera,15
Calle Larga,1
Cartagena,3
Casablanca,1
Catemu,3
Concón,7
El Quisco,3
El Tabo,8
Hijuelas,3
Isla de Pascua,0
Juan Fernández,0
La Cruz,2
La Ligua,12
Limache,17
Llaillay,6
Los Andes,35
Nogales,2
Olmué,1
Panquehue,0
Papudo,2
Petorca,1
Puchuncaví,4
Putaendo,5
Quillota,32
Quilpué,32
Quintero,8
Rinconada,4
San Antonio,34
San Esteban,3
San Felipe,24
Santa María,5
Santo Domingo,1
Valparaíso,82
Villa Alemana,19
Viña del Mar,94
Zapallar,2
Alhué,3
Buin,73
Calera de Tango,7
Cerrillos,75
Cerro Navia,229
Colina,101
Conchalí,209
Curacaví,15
El Bosque,193
El Monte,38
Estación Central,138
Huechuraba,131
Independencia,225
Isla de Maipo,17
La Cisterna,106
La Florida,431
La Granja,185
La Pintana,289
La Reina,82
Lampa,49
Las Condes,274
Lo Barnechea,66
Lo Espejo,179
Lo Prado,128
Macul,150
Maipú,349
María Pinto,4
Melipilla,108
Ñuñoa,233
Padre Hurtado,49
Paine,41
Pedro Aguirre Cerda,191
Peñaflor,101
Peñalolén,292
Pirque,26
Providencia,138
Pudahuel,220
Puente Alto,523
Quilicura,137
Quinta Normal,164
Recoleta,290
Renca,214
San Bernardo,306
San Joaquín,148
San José de Maipo,19
San Miguel,130
San Pedro,4
San Ramón,152
Santiago,270
Talagante,58
Tiltil,12
Vitacura,60
Chépica,4
Chimbarongo,4
Codegua,5
Coinco,3
Coltauco,6
Doñihue,6
Graneros,3
La Estrella,0
Las Cabras,5
Litueche,2
Lolol,1
Machalí,9
Malloa,4
Marchihue,0
Mostazal,5
Nancagua,3
Navidad,1
Olivar,4
Palmilla,2
Paredones,1
Peralillo,1
Peumo,4
Pichidegua,4
Pichilemu,0
Placilla,0
Pumanque,1
Quinta de Tilcoco,3
Rancagua,94
Rengo,15
Requínoa,7
San Fernando,7
San Vicente,10
Santa Cruz,7
Cauquenes,10
Chanco,0
Colbún,1
Constitución,3
Curepto,3
Curicó,31
Empedrado,0
Hualañé,2
Licantén,2
Linares,13
Longaví,2
Maule,4
Molina,11
Parral,3
Pelarco,2
Pelluhue,2
Pencahue,0
Rauco,1
Retiro,0
Río Claro,6
Romeral,3
Sagrada Familia,1
San Clemente,7
San Javier,12
San Rafael,0
Talca,26
Teno,4
Vichuquén,1
Villa Alegre,2
Yerbas Buenas,5
Bulnes,7
Chillán,16
Chillán Viejo,2
Cobquecura,0
Coelemu,2
Coihueco,4
El Carmen,2
Ninhue,3
Ñiquén,2
Pemuco,2
Pinto,0
Portezuelo,0
Quillón,4
Quirihue,2
Ránquil,0
San Carlos,5
San Fabián,0
San Ignacio,4
San Nicolás,2
Treguaco,1
Yungay,1
Alto Biobío,0
Antuco,1
Arauco,1
Cabrero,2
Cañete,0
Chiguayante,10
Concepción,28
Contulmo,0
Coronel,5
Curanilahue,1
Florida,3
Hualpén,4
Hualqui,3
Laja,0
Lebu,0
Los Álamos,0
Los Ángeles,8
Lota,2
Mulchén,0
Nacimiento,3
Negrete,2
Penco,2
Quilaco,0
Quilleco,1
San Pedro de la Paz,16
San Rosendo,1
Santa Bárbara,0
Santa Juana,4
Talcahuano,9
Tirúa,0
Tomé,1
Tucapel,1
Yumbel,1
Angol,9
Carahue,0
Cholchol,0
Collipulli,3
Cunco,2
Curacautín,1
Curarrehue,1
Ercilla,1
Freire,1
Galvarino,0
Gorbea,1
Lautaro,3
Loncoche,1
Lonquimay,2
Los Sauces,0
Lumaco,0
Melipeuco,0
Nueva Imperial,3
Padre Las Casas,5
Perquenco,0
Pitrufquén,0
Pucón,0
Purén,1
Renaico,1
Saavedra,0
Temuco,24
Teodoro Schmidt,1
Toltén,0
Traiguén,0
Victoria,7
Vilcún,2
Villarrica,1
Corral,0
Futrono,0
La Unión,3
Lago Ranco,0
Lanco,0
Los Lagos,1
Máfil,0
Mariquina,0
Paillaco,1
Panguipulli,1
Río Bueno,0
Valdivia,6
Ancud,2
Calbuco,2
Castro,0
Chaitén,0
Chonchi,0
Cochamó,0
Curaco de Vélez,0
Dalcahue,1
Fresia,2
Frutillar,0
Futaleufú,0
Hualaihué,1
Llanquihue,1
Los Muermos,0
Maullín,0
Osorno,12
Palena,0
Puerto Montt,9
Puerto Octay,0
Puerto Varas,1
Puqueldón,0
Purranque,0
Puyehue,0
Queilén,0
Quellón,0
Quemchi,0
Quinchao,0
Río Negro,0
San Juan de la Costa,2
San Pablo,1
Aisén,0
Chile Chico,0
Cisnes,0
Cochrane,0
Coyhaique,0
Guaitecas,0
Lago Verde,0
O'Higgins,0
Río Ibáñez,0
Tortel,0
Antártica,0
Cabo de Hornos,0
Laguna Blanca,0
Natales,0
