fecha_primeros_sintomas,activos,recuperados
2020-02-22,1,0
2020-02-23,2,0
2020-02-24,2,0
2020-02-25,9,0
2020-02-26,10,0
2020-02-27,6,0
2020-02-28,6,0
2020-02-29,3,0
2020-03-01,12,0
2020-03-02,17,0
2020-03-03,14,0
2020-03-04,53,1
2020-03-05,73,2
2020-03-06,85,3
2020-03-07,90,11
2020-03-08,112,13
2020-03-09,141,17
2020-03-10,204,19
2020-03-11,253,20
2020-03-12,312,31
2020-03-13,420,37
2020-03-14,562,45
2020-03-15,723,54
2020-03-16,974,75
2020-03-17,1210,88
2020-03-18,1455,101
2020-03-19,1713,125
2020-03-20,2029,158
2020-03-21,2261,223
2020-03-22,2506,273
2020-03-23,2810,343
2020-03-24,3006,457
2020-03-25,3179,607
2020-03-26,3342,777
2020-03-27,3403,1049
2020-03-28,3473,1298
2020-03-29,3490,1556
2020-03-30,3579,1838
2020-03-31,3544,2187
2020-04-01,3686,2484
2020-04-02,3768,2779
2020-04-03,3771,3153
2020-04-04,3836,3463
2020-04-05,3839,3786
2020-04-06,3941,4119
2020-04-07,4002,4452
2020-04-08,4077,4771
2020-04-09,4249,5046
2020-04-10,4320,5417
2020-04-11,4358,5731
2020-04-12,4303,6170
2020-04-13,4512,6547
2020-04-14,4653,6924
2020-04-15,4918,7299
2020-04-16,5185,7625
2020-04-17,5345,8060
2020-04-18,5492,8454
2020-04-19,5632,8848
2020-04-20,6181,9295
2020-04-21,6498,9737
2020-04-22,6957,10089
2020-04-23,7442,10473
2020-04-24,7935,11059
2020-04-25,8474,11577
2020-04-26,8919,12217
2020-04-27,10035,12810
2020-04-28,11143,13405
2020-04-29,12334,13946
2020-04-30,13784,14480
2020-05-01,15606,15476
2020-05-02,17459,16235
2020-05-03,19411,17046
2020-05-04,22360,17915
2020-05-05,24810,18994
2020-05-06,27241,20051
2020-05-07,29838,21136
2020-05-08,32356,22845
2020-05-09,34521,24548
2020-05-10,37017,26280
2020-05-11,40351,28264
2020-05-12,42299,31082
2020-05-13,43893,33694
2020-05-14,45304,36457
2020-05-15,46931,40275
2020-05-16,48249,43804
2020-05-17,49357,47292
2020-05-18,51500,50974
2020-05-19,52437,55201
2020-05-20,54738,59069
2020-05-21,55126,63297
2020-05-22,55440,68615
2020-05-23,55648,73381
2020-05-24,55930,77587
2020-05-25,57945,81761
2020-05-26,57348,87206
2020-05-27,57454,92053
2020-05-28,57862,96649
2020-05-29,57229,102474
2020-05-30,56864,107638
2020-05-31,54972,113807
2020-06-01,57325,118423
2020-06-02,56422,124055
2020-06-03,56015,129029
2020-06-04,56030,133517
2020-06-05,54931,139706
2020-06-06,54466,144554
2020-06-07,53402,149507
2020-06-08,53755,154511
2020-06-09,52711,159703
2020-06-10,52311,164502
2020-06-11,51993,168779
2020-06-12,49581,175748
2020-06-13,48984,180477
2020-06-14,48036,185044
2020-06-15,48352,189547
2020-06-16,47387,194637
2020-06-17,46833,199020
2020-06-18,46941,202909
2020-06-19,45595,208266
2020-06-20,45145,212414
2020-06-21,43747,216813
2020-06-22,43582,220772
2020-06-23,42423,225329
2020-06-24,41500,229461
2020-06-25,40968,233080
2020-06-26,39327,237899
2020-06-27,37899,242024
2020-06-28,36569,245853
2020-06-29,35214,249850
2020-06-30,34153,253861
2020-07-01,33738,257559
2020-07-02,33161,260560
2020-07-03,31976,264354
2020-07-04,30905,267752
2020-07-05,29911,270961
2020-07-06,29609,274048
2020-07-07,28862,277226
2020-07-08,28415,279923
2020-07-09,28143,282422
2020-07-10,27995,285064
2020-07-11,27022,288014
2020-07-12,25623,291297
2020-07-13,25568,293721
2020-07-14,25170,296330
2020-07-15,24933,298657
2020-07-16,24421,300872
2020-07-17,23851,303657
2020-07-18,23327,306088
2020-07-19,22690,308338
2020-07-20,22828,310565
2020-07-21,22309,313059
2020-07-22,22248,315036
2020-07-23,22399,316920
2020-07-24,21991,319289
2020-07-25,21518,321500
2020-07-26,20906,323590
2020-07-27,21402,325293
2020-07-28,21050,327508
2020-07-29,20923,329415
2020-07-30,21178,331028
2020-07-31,20710,333393
2020-08-01,20630,335368
2020-08-02,20265,337284
2020-08-03,20308,339319
2020-08-04,20280,341280
2020-08-05,20366,343018
2020-08-06,20750,344496
2020-08-07,20407,346695
2020-08-08,20040,348558
2020-08-09,19538,350338
2020-08-10,19698,352206
2020-08-11,19604,354103
2020-08-12,19448,355998
2020-08-13,19483,357549
2020-08-14,19159,359627
2020-08-15,18622,361560
2020-08-16,18086,363384
2020-08-17,18200,365246
2020-08-18,18255,367102
2020-08-19,18535,368598
2020-08-20,19154,369876
2020-08-21,18891,371904
2020-08-22,18521,373707
2020-08-23,18146,375446
2020-08-24,18635,377032
2020-08-25,18822,378786
2020-08-26,19356,380182
2020-08-27,19908,381470
2020-08-28,19928,383446
2020-08-29,19532,385357
2020-08-30,19075,387133
2020-08-31,19310,389030
2020-09-01,19580,390795
2020-09-02,20049,392228
2020-09-03,20573,393592
2020-09-04,20511,395667
2020-09-05,20098,397608
2020-09-06,19453,399538
2020-09-07,19653,401378
2020-09-08,19490,403374
2020-09-09,19709,404889
