Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11
Arica y Parinacota,15,Arica,15101,247552,88,80,72,65,77,103,105,87,61,66
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Total,,252110,88,80,72,65,77,103,105,87,61,66
Tarapaca,1,Alto Hospicio,1107,129999,8,8,7,15,19,27,38,78,93,94
Tarapaca,1,Camina,1402,1375,0,0,0,0,0,0,0,0,0,0
Tarapaca,1,Colchane,1403,1583,0,0,0,0,0,0,0,0,0,0
Tarapaca,1,Huara,1404,3000,0,0,0,0,0,0,0,3,6,7
Tarapaca,1,Iquique,1101,223463,11,8,10,10,29,38,39,63,169,206
Tarapaca,1,Pica,1405,5958,9,17,21,17,13,9,0,0,3,4
Tarapaca,1,Pozo Almonte,1401,17395,2,2,0,0,0,0,0,1,2,3
Tarapaca,1,Total,,382773,30,35,38,42,61,74,77,145,273,314
Antofagasta,2,Antofagasta,2101,425725,49,54,62,86,121,140,158,201,235,225
Antofagasta,2,Calama,2201,190336,12,11,10,10,9,25,33,37,32,33
Antofagasta,2,Maria Elena,2302,6814,1,2,4,6,7,8,24,24,25,21
Antofagasta,2,Mejillones,2102,14776,11,13,14,18,30,38,37,83,79,75
Antofagasta,2,Ollague,2202,287,0,0,0,0,0,0,0,0,0,0
Antofagasta,2,San Pedro de Atacama,2203,10434,1,0,0,0,0,0,0,0,0,0
Antofagasta,2,Sierra Gorda,2103,1746,0,0,0,0,0,0,0,0,2,2
Antofagasta,2,Taltal,2104,13657,3,5,5,5,4,0,0,1,1,1
Antofagasta,2,Tocopilla,2301,28079,1,3,8,4,1,0,1,2,2,3
Antofagasta,2,Total,,691854,78,88,103,129,172,211,253,348,376,360
Atacama,3,Alto del Carmen,3302,5729,0,0,0,0,0,0,0,0,0,0
Atacama,3,Caldera,3102,19426,0,0,0,0,0,0,0,1,1,3
Atacama,3,Chanaral,3201,13164,0,0,0,0,0,0,0,0,0,0
Atacama,3,Copiapo,3101,171766,5,5,5,4,0,0,11,26,32,43
Atacama,3,Diego de Almagro,3202,14358,0,0,0,0,0,0,0,1,1,2
Atacama,3,Freirina,3303,7681,0,0,0,0,0,1,1,0,0,0
Atacama,3,Huasco,3304,11264,0,0,0,1,0,0,0,1,1,1
Atacama,3,Tierra Amarilla,3103,14312,4,4,4,2,0,1,2,4,2,12
Atacama,3,Vallenar,3301,57009,0,0,0,0,7,12,12,14,13,19
Atacama,3,Total,,314709,9,9,9,7,7,14,26,47,50,80
Coquimbo,4,Andacollo,4103,11791,0,0,0,0,0,0,0,2,3,2
Coquimbo,4,Canela,4202,9546,0,0,0,0,0,0,0,0,1,1
Coquimbo,4,Combarbala,4302,13884,0,0,0,0,0,0,0,0,0,2
Coquimbo,4,Coquimbo,4102,256735,1,2,0,2,3,4,6,8,9,11
Coquimbo,4,Illapel,4201,32801,13,12,10,7,0,0,0,1,1,1
Coquimbo,4,La Higuera,4104,4450,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,La Serena,4101,249656,2,1,1,2,4,5,3,9,12,17
Coquimbo,4,Los Vilos,4203,23374,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Monte Patria,4303,32527,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Ovalle,4301,121269,0,1,0,0,0,0,1,2,5,13
Coquimbo,4,Paiguano,4105,4675,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Punitaqui,4304,12165,0,0,0,0,1,1,1,2,4,6
Coquimbo,4,Rio Hurtado,4305,4372,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Salamanca,4204,29110,3,3,3,3,1,1,0,1,2,3
Coquimbo,4,Vicuna,4106,29741,0,0,0,0,0,0,0,1,1,1
Coquimbo,4,Total,,836096,19,19,14,14,9,11,11,26,38,57
Valparaiso,5,Algarrobo,5602,15174,0,0,0,0,0,1,1,1,1,2
Valparaiso,5,Cabildo,5402,20663,0,0,0,1,0,3,4,5,2,2
Valparaiso,5,Calera,5502,53591,1,3,5,6,9,9,3,2,0,3
Valparaiso,5,Calle Larga,5302,16482,2,2,3,4,2,1,0,0,4,4
Valparaiso,5,Cartagena,5603,25357,2,2,0,0,4,4,6,4,6,5
Valparaiso,5,Casablanca,5102,29170,2,1,1,1,0,0,0,0,1,1
Valparaiso,5,Catemu,5702,15213,0,0,0,0,0,0,0,1,1,1
Valparaiso,5,Concon,5103,45889,1,2,1,1,3,4,8,6,6,5
Valparaiso,5,El Quisco,5604,17742,2,3,2,4,3,3,1,1,5,7
Valparaiso,5,El Tabo,5605,14338,0,0,1,1,3,2,5,3,1,3
