date,value,is_from_informe_epi
2020-02-22,1,TRUE
2020-02-23,2,TRUE
2020-02-24,3,TRUE
2020-02-25,12,TRUE
2020-02-26,13,TRUE
2020-02-27,18,TRUE
2020-02-28,20,TRUE
2020-02-29,20,TRUE
2020-03-01,26,TRUE
2020-03-02,32,TRUE
2020-03-03,31,TRUE
2020-03-04,40,TRUE
2020-03-05,53,TRUE
2020-03-06,64,TRUE
2020-03-07,76,TRUE
2020-03-08,93,TRUE
2020-03-09,120,TRUE
2020-03-10,174,TRUE
2020-03-11,215,TRUE
2020-03-12,266,TRUE
2020-03-13,366,TRUE
2020-03-14,501,TRUE
2020-03-15,645,TRUE
2020-03-16,886,TRUE
2020-03-17,1070,TRUE
2020-03-18,1268,TRUE
2020-03-19,1480,TRUE
2020-03-20,1698,TRUE
2020-03-21,1836,TRUE
2020-03-22,1955,TRUE
2020-03-23,2034,TRUE
2020-03-24,2100,TRUE
2020-03-25,2172,TRUE
2020-03-26,2227,TRUE
2020-03-27,2215,TRUE
2020-03-28,2230,TRUE
2020-03-29,2217,TRUE
2020-03-30,2219,TRUE
2020-03-31,2219,TRUE
2020-04-01,2310,TRUE
2020-04-02,2344,TRUE
2020-04-03,2400,TRUE
2020-04-04,2455,TRUE
2020-04-05,2497,TRUE
2020-04-06,2562,TRUE
2020-04-07,2623,TRUE
2020-04-08,2580,TRUE
2020-04-09,2614,TRUE
2020-04-10,2651,TRUE
2020-04-11,2620,TRUE
2020-04-12,2651,TRUE
2020-04-13,2761,TRUE
2020-04-14,2856,TRUE
2020-04-15,3070,TRUE
2020-04-16,3210,TRUE
2020-04-17,3347,TRUE
2020-04-18,3534,TRUE
2020-04-19,3681,TRUE
2020-04-20,4150,TRUE
2020-04-21,4394,TRUE
2020-04-22,4579,TRUE
2020-04-23,4861,TRUE
2020-04-24,5364,TRUE
2020-04-25,5885,TRUE
2020-04-26,6410,TRUE
2020-04-27,6986,TRUE
2020-04-28,7879,TRUE
2020-04-29,8804,TRUE
2020-04-30,10060,TRUE
2020-05-01,11805,TRUE
2020-05-02,13350,TRUE
2020-05-03,15030,TRUE
2020-05-04,17225,TRUE
2020-05-05,19197,TRUE
2020-05-06,20994,TRUE
2020-05-07,22518,TRUE
2020-05-08,23858,TRUE
2020-05-09,25156,TRUE
2020-05-10,26705,TRUE
2020-05-11,28135,TRUE
2020-05-12,29350,TRUE
2020-05-13,30088,TRUE
2020-05-14,30587,TRUE
2020-05-15,31626,TRUE
2020-05-16,32260,TRUE
2020-05-17,32416,TRUE
2020-05-18,32932,TRUE
2020-05-19,33079,TRUE
2020-05-20,34650,TRUE
2020-05-21,35041,TRUE
2020-05-22,35509,TRUE
2020-05-23,36004,TRUE
2020-05-24,36043,TRUE
2020-05-25,36470,TRUE
2020-05-26,36320,TRUE
2020-05-27,35439,TRUE
2020-05-28,35932,TRUE
