date,value,is_from_informe_epi
2020-03-02,0,TRUE
2020-03-03,0,TRUE
2020-03-04,0,TRUE
2020-03-05,0,TRUE
2020-03-06,0,TRUE
2020-03-07,0,TRUE
2020-03-08,0,TRUE
2020-03-09,0,TRUE
2020-03-10,0,TRUE
2020-03-11,0,TRUE
2020-03-12,0,TRUE
2020-03-13,0,TRUE
2020-03-14,0,TRUE
2020-03-15,0,TRUE
2020-03-16,0,TRUE
2020-03-17,0,TRUE
2020-03-18,0,TRUE
2020-03-19,0,TRUE
2020-03-20,0,TRUE
2020-03-21,0,TRUE
2020-03-22,1,TRUE
2020-03-23,1,TRUE
2020-03-24,2,TRUE
2020-03-25,3,TRUE
2020-03-26,4,TRUE
2020-03-27,5,TRUE
2020-03-28,6,TRUE
2020-03-29,7,TRUE
2020-03-30,8,TRUE
2020-03-31,12,TRUE
2020-04-01,16,TRUE
2020-04-02,18,TRUE
2020-04-03,22,TRUE
2020-04-04,27,TRUE
2020-04-05,34,TRUE
2020-04-06,37,TRUE
2020-04-07,43,TRUE
2020-04-08,48,TRUE
2020-04-09,57,TRUE
2020-04-10,65,TRUE
2020-04-11,73,TRUE
2020-04-12,80,TRUE
2020-04-13,82,TRUE
2020-04-14,92,TRUE
2020-04-15,94,TRUE
2020-04-16,105,TRUE
2020-04-17,116,TRUE
2020-04-18,126,TRUE
2020-04-19,133,TRUE
2020-04-20,139,TRUE
2020-04-21,147,TRUE
2020-04-22,160,TRUE
2020-04-23,168,TRUE
2020-04-24,174,TRUE
2020-04-25,181,TRUE
2020-04-26,189,TRUE
2020-04-27,198,TRUE
2020-04-28,207,TRUE
2020-04-29,216,TRUE
2020-04-30,227,TRUE
2020-05-01,234,TRUE
2020-05-02,247,TRUE
2020-05-03,260,TRUE
2020-05-04,270,TRUE
2020-05-05,275,TRUE
2020-05-06,281,TRUE
2020-05-07,285,TRUE
2020-05-08,294,TRUE
2020-05-09,304,TRUE
2020-05-10,312,TRUE
2020-05-11,323,TRUE
2020-05-12,335,TRUE
2020-05-13,346,TRUE
2020-05-14,368,TRUE
2020-05-15,394,TRUE
2020-05-16,421,TRUE
2020-05-17,450,TRUE
2020-05-18,478,TRUE
2020-05-19,509,TRUE
2020-05-20,544,TRUE
2020-05-21,589,TRUE
2020-05-22,630,TRUE
2020-05-23,673,TRUE
2020-05-24,718,TRUE
2020-05-25,761,TRUE
2020-05-26,806,TRUE
2020-05-27,841,TRUE
2020-05-28,890,TRUE
2020-05-29,944,TRUE
2020-05-30,997,TRUE
2020-05-31,1054,TRUE
2020-06-01,1113,TRUE
2020-06-02,1188,TRUE
2020-06-03,1275,TRUE
2020-06-04,1356,TRUE
2020-06-05,1448,TRUE
2020-06-06,1541,TRUE
2020-06-07,2190,TRUE
2020-06-08,2264,TRUE
2020-06-09,2283,TRUE
2020-06-10,2475,TRUE
2020-06-11,2648,TRUE
2020-06-12,2870,TRUE
2020-06-13,3101,TRUE
2020-06-14,3323,TRUE
2020-06-15,3362,TRUE
2020-06-16,3383,TRUE
2020-06-17,3615,TRUE
2020-06-18,3841,TRUE
2020-06-19,4093,TRUE
2020-06-20,4295,TRUE
2020-06-21,4479,TRUE
2020-06-22,4502,TRUE
2020-06-23,4505,TRUE
2020-06-24,4731,TRUE
2020-06-25,4903,TRUE
2020-06-26,5068,TRUE
2020-06-27,5347,TRUE
2020-06-28,5509,TRUE
2020-06-29,5575,TRUE
2020-06-30,5688,TRUE
2020-07-01,5753,TRUE
2020-07-02,5920,TRUE
2020-07-03,6051,TRUE
2020-07-04,6192,TRUE
2020-07-05,6308,TRUE
2020-07-06,6384,TRUE
2020-07-07,6434,TRUE
2020-07-08,6573,TRUE
2020-07-09,6682,TRUE
2020-07-10,6781,TRUE
2020-07-11,6881,TRUE
2020-07-12,6979,TRUE
2020-07-13,7024,TRUE
2020-07-14,7069,TRUE
2020-07-15,7186,TRUE
2020-07-16,7290,TRUE
2020-07-17,8347,TRUE
2020-07-18,8445,TRUE
2020-07-19,8503,TRUE
2020-07-20,8633,TRUE
2020-07-21,8677,TRUE
2020-07-22,8722,TRUE
2020-07-23,8838,TRUE
2020-07-24,8914,TRUE
2020-07-25,9020,TRUE
2020-07-26,9112,TRUE
2020-07-27,9187,TRUE
2020-07-28,9240,TRUE
2020-07-29,9278,TRUE
2020-07-30,9377,TRUE
2020-07-31,9457,TRUE
2020-08-01,9533,TRUE
2020-08-02,9608,TRUE
2020-08-03,9707,TRUE
2020-08-04,9745,TRUE
2020-08-05,9792,TRUE
2020-08-06,9889,TRUE
2020-08-07,9958,TRUE
2020-08-08,10011,TRUE
2020-08-09,10077,TRUE
2020-08-10,10139,TRUE
2020-08-11,10178,TRUE
2020-08-12,10205,TRUE
2020-08-13,10299,TRUE
2020-08-14,10340,TRUE
2020-08-15,10395,TRUE
2020-08-16,10452,TRUE
2020-08-17,10513,TRUE
2020-08-18,10546,TRUE
2020-08-19,10578,TRUE
2020-08-20,10671,TRUE
2020-08-21,10723,TRUE
2020-08-22,10792,TRUE
2020-08-23,10852,TRUE
2020-08-24,10916,TRUE
2020-08-25,10958,TRUE
2020-08-26,10990,TRUE
2020-08-27,11072,TRUE
2020-08-28,11132,TRUE
2020-08-29,11181,TRUE
2020-08-30,11244,TRUE
2020-08-31,11289,TRUE
2020-09-01,11321,TRUE
2020-09-02,11344,TRUE
2020-09-03,11422,TRUE
2020-09-04,11494,TRUE
2020-09-05,11551,TRUE
2020-09-06,11592,TRUE
2020-09-07,11652,TRUE
2020-09-08,11682,TRUE
2020-09-09,11702,TRUE
2020-09-10,11781,TRUE
2020-09-11,11850,TRUE
2020-09-12,11895,TRUE
2020-09-13,11949,TRUE
2020-09-14,12013,TRUE
2020-09-15,12040,TRUE
2020-09-16,12058,TRUE
2020-09-17,12142,TRUE
2020-09-18,12199,TRUE
2020-09-19,12254,TRUE
2020-09-20,12286,TRUE
2020-09-21,12298,TRUE
2020-09-22,12321,TRUE
2020-09-23,12345,TRUE
2020-09-24,12469,TRUE
2020-09-25,12527,TRUE
2020-09-26,12591,TRUE
2020-09-27,12641,TRUE
2020-09-28,12698,TRUE
2020-09-29,12725,TRUE
2020-09-30,12741,TRUE
2020-10-01,12822,TRUE
2020-10-02,12867,TRUE
2020-10-03,12919,TRUE
2020-10-04,12979,TRUE
2020-10-05,13037,TRUE
2020-10-06,13070,TRUE
2020-10-07,13090,TRUE
2020-10-08,13167,TRUE
2020-10-09,13220,TRUE
2020-10-10,13272,TRUE
2020-10-11,13318,TRUE
2020-10-12,13379,TRUE
2020-10-13,13396,TRUE
2020-10-14,13415,TRUE
2020-10-15,13434,TRUE
2020-10-16,13529,TRUE
2020-10-17,13588,TRUE
2020-10-18,13635,TRUE
2020-10-19,13676,TRUE
2020-10-20,13702,TRUE
2020-10-21,13719,TRUE
2020-10-22,13792,TRUE
2020-10-23,13844,TRUE
2020-10-24,13892,TRUE
2020-10-25,13944,TRUE
2020-10-26,14003,TRUE
2020-10-27,14026,TRUE
2020-10-28,14032,TRUE
