comuna,value
Arica,247552
Camarones,1233
General Lagos,810
Putre,2515
Alto Hospicio,129999
Camina,1375
Colchane,1583
Huara,3000
Iquique,223463
Pica,5958
Pozo Almonte,17395
Antofagasta,425725
Calama,190336
Maria Elena,6814
Mejillones,14776
Ollague,287
San Pedro de Atacama,10434
Sierra Gorda,1746
Taltal,13657
Tocopilla,28079
Alto del Carmen,5729
Caldera,19426
Chanaral,13164
Copiapo,171766
Diego de Almagro,14358
Freirina,7681
Huasco,11264
Tierra Amarilla,14312
Vallenar,57009
Andacollo,11791
Canela,9546
Combarbala,13884
Coquimbo,256735
Illapel,32801
La Higuera,4450
La Serena,249656
Los Vilos,23374
Monte Patria,32527
Ovalle,121269
Paiguano,4675
Punitaqui,12165
Rio Hurtado,4372
Salamanca,29110
Vicuna,29741
Algarrobo,15174
Cabildo,20663
Calera,53591
Calle Larga,16482
Cartagena,25357
Casablanca,29170
Catemu,15213
Concon,45889
El Quisco,17742
El Tabo,14338
Hijuelas,19099
Isla de Pascua,8277
Juan Fernandez,1033
La Cruz,25321
La Ligua,37739
Limache,49931
Llaillay,26533
Los Andes,68093
Nogales,23490
Olmue,19266
Panquehue,7633
Papudo,6201
Petorca,10558
Puchuncavi,20071
Putaendo,17645
Quillota,97572
Quilpue,167085
Quintero,36135
Rinconada,11263
San Antonio,96761
San Esteban,20643
San Felipe,83494
Santa Maria,16367
Santo Domingo,11934
Valparaiso,315732
Villa Alemana,139310
Vina del Mar,361371
Zapallar,7994
Alhue,7405
Buin,109641
Calera de Tango,28525
Cerrillos,88956
Cerro Navia,142465
Colina,180353
Conchali,139195
Curacavi,36430
El Bosque,172000
El Monte,40014
Estacion Central,206792
Huechuraba,112528
Independencia,142065
Isla de Maipo,40171
La Cisterna,100434
La Florida,402433
La Granja,122557
La Pintana,189335
La Reina,100252
Lampa,126898
Las Condes,330759
Lo Barnechea,124076
Lo Espejo,103865
Lo Prado,104403
Macul,134635
Maipu,578605
Maria Pinto,14926
Melipilla,141612
Nunoa,250192
Padre Hurtado,74188
Paine,82766
Pedro Aguirre Cerda,107803
Penaflor,101058
Penalolen,266798
Pirque,30433
Providencia,157749
Pudahuel,253139
Puente Alto,645909
Quilicura,254694
Quinta Normal,136368
Recoleta,190075
Renca,160847
San Bernardo,334836
San Joaquin,103485
San Jose de Maipo,18644
San Miguel,133059
San Pedro,11953
San Ramon,86510
Santiago,503147
Talagante,81838
Tiltil,21477
Vitacura,96774
Chepica,15925
Chimbarongo,37696
Codegua,14096
Coinco,7831
Coltauco,21263
Donihue,22700
Graneros,36504
La Estrella,3114
Las Cabras,26749
Litueche,6765
Lolol,7289
Machali,59913
Malloa,14163
Marchihue,7632
Mostazal,27462
Nancagua,19141
Navidad,6904
Olivar,14624
Palmilla,13299
Paredones,6349
Peralillo,11848
Peumo,14952
Pichidegua,20743
Pichilemu,17882
Placilla,9164
Pumanque,3531
Quinta de Tilcoco,13877
Rancagua,265211
Rengo,63710
Requinoa,30371
San Fernando,78642
San Vicente,50617
Santa Cruz,41096
Cauquenes,44143
Chanco,9331
Colbun,22565
Constitucion,50348
