comuna,2020-04-12,2020-04-14,2020-04-16,2020-04-19,2020-04-23,2020-04-26,2020-04-30,2020-05-04,2020-05-07,2020-05-10,2020-05-14,2020-05-17,2020-05-21,2020-05-24,2020-05-28,2020-05-31,2020-06-04,2020-06-07,2020-06-11,2020-06-14,2020-06-18,2020-06-22,2020-06-27,2020-06-30,2020-07-04,2020-07-09,2020-07-12,2020-07-16
Arica,88,80,72,65,77,103,105,87,61,66,49,68,117,143,163,177,248,278,328,353,358,381,408,406,495,575,655,818
Camarones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12
General Lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,7,1,1,1,15,17,15
Alto Hospicio,8,8,7,15,19,27,38,78,93,94,118,183,246,253,252,297,265,301,235,247,243,239,218,219,205,165,137,119
Camina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,7,7,4,3,1,1,8,10,13,7,6,3
Colchane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,8,12,14,27,24,20,15,16,15,13
Huara,0,0,0,0,0,0,0,3,6,7,7,5,7,6,11,9,6,8,5,5,10,12,9,9,15,21,28,28
Iquique,11,8,10,10,29,38,39,63,169,206,293,371,419,469,514,532,509,521,474,547,575,548,495,417,455,433,409,344
Pica,9,17,21,17,13,9,0,0,3,4,4,4,1,2,7,12,15,14,8,14,15,18,17,14,29,71,69,57
Pozo Almonte,2,2,0,0,0,0,0,1,2,3,3,4,13,19,30,46,44,56,97,115,130,106,64,65,55,66,83,55
Antofagasta,49,54,62,86,121,140,158,201,235,225,296,315,296,280,239,271,251,307,349,433,526,646,780,759,905,992,1065,966
Calama,12,11,10,10,9,25,33,37,32,33,57,76,76,87,98,55,73,92,221,370,746,978,923,876,814,743,726,585
Maria Elena,1,2,4,6,7,8,24,24,25,21,31,28,25,29,17,11,5,8,6,6,15,21,32,38,30,27,27,17
Mejillones,11,13,14,18,30,38,37,83,79,75,41,43,45,33,17,12,14,13,1,5,6,22,34,44,61,39,28,29
Ollague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,1,2,5,4,7
