comuna,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09,2021-07-12,2021-07-16,2021-07-19,2021-07-23,2021-07-26,2021-07-30,2021-08-02,2021-08-06,2021-08-09,2021-08-13,2021-08-16,2021-08-20,2021-08-23,2021-08-27,2021-08-30,2021-09-03,2021-09-06,2021-09-10,2021-09-13,2021-09-17,2021-09-20,2021-09-24,2021-09-27,2021-10-01,2021-10-04,2021-10-08,2021-10-11,2021-10-15,2021-10-18,2021-10-22,2021-10-25,2021-10-29,2021-11-01,2021-11-05,2021-11-08,2021-11-12,2021-11-15,2021-11-19,2021-11-22,2021-11-26,2021-11-29,2021-12-03,2021-12-06,2021-12-10,2021-12-13,2021-12-17,2021-12-20,2021-12-24,2021-12-27
Arica,6,6,12,41,63,87,115,124,134,166,224,270,297,310,328,353,371,405,477,525,596,653,806,904,1046,1176,1371,1533,1758,1887,2139,2464,2721,3123,3372,3882,4211,4636,4874,5220,5543,5907,6131,6374,6577,6783,6969,7172,7344,7503,7646,7819,7948,8134,8332,8597,8772,8996,9138,9343,9472,9679,9763,9888,9974,10103,10208,10294,10363,10443,10489,10530,10586,10630,10672,10720,10798,10875,10934,11028,11080,11212,11296,11434,11650,11886,12171,12453,12711,13047,13335,13606,13885,14168,14427,14734,15007,15358,15627,15978,16253,16614,16913,17431,17771,18370,18637,19157,19396,19845,20142,20550,20894,21325,21692,22130,22415,22821,23137,23547,23856,24247,24548,24929,25231,25609,25913,26258,26531,26916,27195,27576,27813,28074,28299,28532,28688,28995,29117,29158,29203,29242,29302,29348,29408,29450,29493,29501,29535,29557,29579,29662,29681,29763,29836,29929,30002,30128,30239,30376,30463,30536,30579,30661,30727,30828,30890,30983,31053,31125,31208,31361,31438,31519,31566,31643,31662,31713,31735,31782,31811,31855,31889,31933,31973
Camarones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,13,13,15,16,21,23,23,24,25,25,27,25,26,26,26,26,26,26,27,27,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,27,27,27,27,27,27,27,29,29,30,30,31,30,30,30,30,30,30,31,32,32,36,36,42,42,42,42,42,43,44,43,46,51,54,54,55,55,55,55,55,55,56,58,59,59,59,59,60,60,61,61,62,62,62,63,64,65,65,65,66,66,66,66,66,66,66,69,69,69,67,67,67,67,67,67,67,67,70,70,70,70,70,70,70,70,72,71,71,72,72,73,73,73,73,73,73,73,73,73,73,73,74,74,74,74,74,74
General Lagos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,6,15,48,59,62,62,62,62,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,66,67,69,72,74,74,75,77,78,78,78,79,79,79,79,79,79,79,79,79,79,80,80,81,86,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
Putre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,10,11,11,11,26,28,28,30,36,37,39,40,50,55,56,55,48,49,50,51,54,57,59,60,62,62,63,67,67,70,70,70,70,70,71,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,75,80,85,85,88,97,101,110,117,122,122,121,121,122,125,126,126,127,127,128,129,131,136,141,145,154,156,162,164,162,163,165,166,167,168,168,168,170,171,173,175,175,176,176,179,186,189,189,191,192,193,194,195,195,196,196,196,198,198,198,198,201,201,202,202,203,204,204,204,205,207,208,207,211,215,213,213,213,213,213,214,215,216,216,217,216,216,216,217,216,217,217,217,217,217,217,217,217,217,228,228
Alto Hospicio,0,0,0,5,6,10,14,15,16,27,39,55,77,128,161,188,276,379,504,591,744,919,1062,1238,1345,1468,1672,1815,1949,1982,2065,2150,2191,2241,2313,2371,2414,2523,2595,2679,2740,2864,2951,3052,3139,3214,3280,3355,3418,3492,3560,3629,3660,3708,3753,3824,3850,3917,3951,4000,4041,4126,4158,4193,4232,4271,4311,4376,4400,4444,4459,4511,4550,4587,4639,4692,4753,4887,4971,5113,5210,5423,5523,5827,6047,6429,6614,6932,7141,7401,7537,7838,7974,8192,8325,8493,8630,8848,8938,9104,9148,9363,9514,9671,9778,10007,10147,10391,10536,10844,11040,11347,11532,11797,11985,12237,12431,12655,12834,13072,13202,13383,13479,13666,13783,13924,14035,14180,14264,14422,14508,14613,14696,14791,14855,14964,15007,15085,15118,15179,15231,15273,15322,15410,15462,15580,15601,15652,15697,15724,15748,15781,15789,15812,15839,15866,15880,15902,15915,15942,15964,15997,16023,16059,16090,16115,16156,16225,16266,16308,16362,16448,16503,16584,16643,16726,16754,16779,16802,16821,16834,16869,16885,16898,16917
Camina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,10,10,12,16,16,25,29,33,35,36,37,43,43,39,42,42,42,43,50,57,58,59,59,59,59,59,59,59,59,59,60,60,60,62,65,65,66,66,67,67,67,67,68,70,72,72,76,81,85,85,86,87,87,88,88,88,88,88,90,91,92,92,100,103,105,106,106,106,107,107,112,113,114,114,114,120,122,122,124,126,131,131,132,134,134,134,134,135,135,137,143,148,150,154,161,162,163,163,168,170,172,174,183,189,194,198,202,205,204,206,206,207,208,213,214,215,219,219,220,220,221,221,221,222,223,224,225,225,228,228,228,230,231,231,231,231,231,231,231,231,232,232,232,232,232,232,232,232,232,233,233,233,233,233,233,233,233,233,233,233,233,234
Colchane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,10,16,26,43,54,58,61,72,77,78,79,86,89,92,92,93,93,93,96,96,97,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,101,101,102,102,102,102,103,103,104,105,109,109,109,110,112,114,114,114,114,114,115,115,117,118,118,119,122,122,125,126,126,127,128,128,128,128,128,129,129,130,130,131,131,131,131,132,132,132,134,135,136,138,137,137,137,137,137,139,140,139,139,139,139,141,141,141,141,144,144,144,144,144,144,144,144,145,145,145,145,145,145,145,146,147,147,147,149,148,151,152,152,166,168,168,168,168,168,169,169,170,170,172,172,175,175,179,179,179,183,190,190,191,192,191,195,195,195,195,195,195,195
Huara,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,13,15,18,19,30,31,33,37,40,41,55,63,65,68,78,92,105,116,125,132,133,135,134,136,136,145,148,150,154,159,161,161,162,162,164,164,164,164,164,164,167,167,168,168,168,169,170,170,172,173,183,188,188,198,199,199,199,199,200,203,211,215,215,217,217,219,219,219,222,230,242,261,272,280,280,283,283,292,310,315,327,332,334,338,339,342,346,345,349,351,351,355,361,370,377,379,379,385,388,389,389,390,391,392,395,396,400,401,402,403,408,416,420,426,428,429,431,431,433,443,443,444,447,452,452,452,452,455,455,455,459,459,460,460,460,461,461,461,462,463,463,463,463,463,463,468,468,469,473,479,480,482,482,482,483,483,484,484,485,491,493,495,496,496,496,496,496,496,496
Iquique,5,9,10,13,16,18,26,26,31,36,58,75,90,122,253,308,440,610,812,951,1218,1447,1700,1904,2142,2379,2698,2952,3210,3319,3583,3814,3934,4073,4198,4404,4552,4782,4889,5076,5193,5393,5512,5671,5807,5922,6032,6142,6208,6333,6437,6557,6600,6702,6784,6909,6974,7089,7145,7233,7303,7436,7488,7605,7683,7776,7853,8008,8061,8171,8252,8384,8460,8554,8633,8739,8848,9084,9266,9548,9736,10103,10395,10984,11402,12085,12551,13133,13474,13981,14293,14947,15235,15584,15853,16237,16468,16827,17046,17447,17566,18057,18395,18829,19172,19717,20052,20647,20995,21651,22001,22569,22892,23310,23603,24078,24314,24660,24902,25221,25445,25779,25974,26188,26380,26610,26785,27022,27191,27425,27585,27764,27896,28017,28134,28257,28329,28482,28579,28791,28839,28911,28955,29036,29073,29198,29238,29315,29384,29426,29461,29516,29545,29576,29614,29674,29710,29766,29812,29910,29979,30076,30172,30259,30359,30468,30574,30704,30799,30902,31036,31268,31392,31568,31671,31829,31909,31974,32005,32057,32085,32126,32158,32198,32255
Pica,0,0,0,0,0,5,10,19,24,28,31,31,31,31,35,37,37,39,37,39,45,51,57,59,60,67,77,83,90,91,111,163,168,176,192,196,205,237,251,259,266,294,313,340,353,366,375,388,394,398,398,403,407,410,414,421,427,427,429,430,430,431,432,433,437,439,451,458,460,461,461,461,461,463,466,467,467,469,472,476,477,477,478,490,515,533,546,574,586,603,612,627,633,642,646,658,663,681,686,702,706,721,733,746,756,760,761,769,776,784,789,801,806,827,830,831,843,847,850,860,866,874,879,896,901,910,919,936,945,958,961,967,975,979,980,984,986,990,990,999,999,1000,1000,1001,1004,1004,1007,1007,1009,1011,1015,1017,1018,1018,1018,1019,1021,1022,1022,1023,1023,1024,1024,1024,1026,1031,1032,1034,1033,1039,1042,1046,1049,1051,1054,1063,1064,1065,1065,1067,1072,1073,1073,1073,1073
