region,commune,text,is_active
Arica y Parinacota,Arica,Arica está en cuarentena total.,TRUE
Tarapacá,Alto Hospicio,Alto Hospicio está en cuarentena total.,TRUE
Tarapacá,Iquique,Iquique está en cuarentena total.,TRUE
Tarapacá,Pozo Almonte,Pozo Almonte está en cuarentena total.,TRUE
Atacama,Copiapó,Copiapó está en cuarentena total.,TRUE
Atacama,Tierra Amarilla,Tierra Amarilla está en cuarentena total.,TRUE
Antofagasta,Antofagasta,Antofagasta está en cuarentena total.,TRUE
Antofagasta,Calama,Calama está en cuarentena total.,TRUE
Antofagasta,Mejillones,Mejillones está en cuarentena total.,TRUE
Coquimbo,Coquimbo,Coquimbo está en cuarentena total.,TRUE
Coquimbo,La Serena,La Serena está en cuarentena total.,TRUE
Valparaíso,Calera,Calera está en cuarentena total.,TRUE
Valparaíso,La Cruz,La Cruz está en cuarentena total.,TRUE
Valparaíso,Los Andes,Los Andes está en cuarentena total.,TRUE
Valparaíso,Quillota,Quillota está en cuarentena total.,TRUE
Valparaíso,Valparaíso,Valparaíso está en cuarentena total.,TRUE
Valparaíso,Viña del Mar,Viña del Mar está en cuarentena total.,TRUE
Metropolitana,Buin,Buin está en cuarentena total.,TRUE
Metropolitana,Calera de Tango,Calera de Tango está en cuarentena total.,TRUE
Metropolitana,Cerrillos,Cerrillos está en cuarentena total.,TRUE
Metropolitana,Cerro Navia,Cerro Navia está en cuarentena total.,TRUE
Metropolitana,Conchalí,Conchalí está en cuarentena total.,TRUE
Metropolitana,El Bosque,El Bosque está en cuarentena total.,TRUE
Metropolitana,El Monte,El Monte está en cuarentena total.,TRUE
Metropolitana,Estación Central,Estación Central está en cuarentena total.,TRUE
Metropolitana,Huechuraba,Huechuraba está en cuarentena total.,TRUE
Metropolitana,Independencia,Independencia está en cuarentena total.,TRUE
Metropolitana,Isla de Maipo,Isla de Maipo está en cuarentena total.,TRUE
Metropolitana,La Cisterna,La Cisterna está en cuarentena total.,TRUE
Metropolitana,La Florida,La Florida está en cuarentena total.,TRUE
Metropolitana,La Granja,La Granja está en cuarentena total.,TRUE
Metropolitana,La Pintana,La Pintana está en cuarentena total.,TRUE
Metropolitana,Lo Espejo,Lo Espejo está en cuarentena total.,TRUE
Metropolitana,Lo Prado,Lo Prado está en cuarentena total.,TRUE
Metropolitana,Macul,Macul está en cuarentena total.,TRUE
Metropolitana,Maipú,Maipú está en cuarentena total.,TRUE
Metropolitana,Padre Hurtado,Padre Hurtado está en cuarentena total.,TRUE
Metropolitana,Pedro Aguirre Cerda,Pedro Aguirre Cerda está en cuarentena total.,TRUE
Metropolitana,Peñaflor,Peñaflor está en cuarentena total.,TRUE
Metropolitana,Peñalolén,Peñalolén está en cuarentena total.,TRUE
Metropolitana,Pudahuel,Pudahuel está en cuarentena total.,TRUE
Metropolitana,Puente Alto,Puente Alto está en cuarentena total.,TRUE
Metropolitana,Quilicura,Quilicura está en cuarentena total.,TRUE
Metropolitana,Quinta Normal,Quinta Normal está en cuarentena total.,TRUE
Metropolitana,Recoleta,Recoleta está en cuarentena total.,TRUE
Metropolitana,Renca,Renca está en cuarentena total.,TRUE
Metropolitana,San Bernardo,San Bernardo está en cuarentena total.,TRUE
Metropolitana,San Joaquín,San Joaquín está en cuarentena total.,TRUE
Metropolitana,San José de Maipo,San José de Maipo está en cuarentena total.,TRUE
Metropolitana,San Miguel,San Miguel está en cuarentena total.,TRUE
Metropolitana,San Ramón,San Ramón está en cuarentena total.,TRUE
Metropolitana,Santiago,Santiago está en cuarentena total.,TRUE
Metropolitana,Talagante,Talagante está en cuarentena total.,TRUE
O'Higgins,Rengo,Rengo está en cuarentena total.,TRUE
Maule,Curicó,Curicó está en cuarentena total.,TRUE
Los Lagos,Puerto Montt,Puerto Montt está en cuarentena total.,TRUE
