region,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09,2021-07-12,2021-07-16,2021-07-19,2021-07-23,2021-07-26,2021-07-30,2021-08-02,2021-08-06,2021-08-09,2021-08-13,2021-08-16,2021-08-20,2021-08-23,2021-08-27,2021-08-30,2021-09-03,2021-09-06,2021-09-10,2021-09-13,2021-09-17,2021-09-20,2021-09-24,2021-09-27,2021-10-01,2021-10-04,2021-10-08,2021-10-11,2021-10-15,2021-10-18,2021-10-22,2021-10-25,2021-10-29,2021-11-01,2021-11-05,2021-11-08,2021-11-12,2021-11-15,2021-11-19,2021-11-22,2021-11-26,2021-11-29,2021-12-03,2021-12-06
Arica y Parinacota,88,80,72,65,77,103,105,87,61,66,49,68,117,143,163,177,248,279,330,356,366,388,410,407,496,591,681,848,886,1000,998,974,876,731,815,809,824,671,662,592,600,536,576,498,481,399,409,372,413,444,527,567,562,514,492,320,319,273,230,247,261,228,191,173,149,129,117,113,109,114,148,174,163,174,171,223,245,287,377,502,603,592,612,670,719,651,614,625,621,656,627,689,685,649,579,621,657,823,867,1012,980,918,847,883,865,873,913,964,1002,1018,901,848,847,903,863,935,846,852,815,803,840,828,778,793,805,833,743,647,600,540,482,423,320,215,175,196,181,133,147,143,122,87,77,74,70,63,62,133,193,230,234,258,276,263,269,213,143,172,190,218,185,184,193,162,186,264,270,208,175,126,106,109,83
Tarapacá,30,35,38,42,61,74,77,145,273,314,425,567,686,749,817,900,849,910,831,943,1032,991,871,793,827,814,786,657,681,636,705,936,886,834,729,753,784,754,778,630,627,586,525,519,521,479,401,339,378,384,462,471,491,433,451,346,356,388,373,333,377,432,354,341,279,336,330,349,305,337,349,555,626,740,710,908,916,1372,1429,1782,1586,1627,1416,1409,1208,1279,1061,1090,1003,1105,988,1004,903,938,664,973,1015,1122,1069,1305,1245,1384,1236,1474,1426,1621,1380,1318,1240,1397,1296,1177,1085,1094,944,980,846,846,757,755,791,826,764,838,730,691,570,499,454,460,402,332,294,278,257,251,249,283,257,322,288,269,236,217,178,154,146,147,165,209,214,187,153,212,253,241,257,254,302,312,292,341,340,299,337,462,447,369,335,299,284,239,183
Antofagasta,78,88,103,129,172,211,253,348,376,360,444,482,465,452,384,363,355,436,597,846,1397,1849,1925,1872,2019,1975,2023,1778,1546,1339,1265,1168,1151,1187,1306,1250,1155,999,974,858,857,778,772,682,682,534,482,466,525,504,564,498,556,487,490,324,315,339,292,238,233,254,256,229,186,180,168,168,161,215,284,359,408,512,461,614,739,1078,1427,1638,1917,2085,1997,1955,1875,1891,1784,1813,1659,1506,1396,1531,1516,1559,1448,1540,1445,1589,1586,1615,1490,1504,1399,1567,1574,1697,1640,1697,1498,1422,1200,1114,1061,1196,1165,1246,1204,1280,1313,1347,1315,1267,1145,1219,1198,1073,1007,976,930,748,670,542,406,365,309,293,256,316,283,266,126,119,128,147,142,130,136,189,201,195,181,269,335,286,315,269,243,277,404,478,459,495,527,472,524,625,627,573,469,419,417,458,404
Atacama,9,9,9,7,7,14,26,47,50,80,68,60,49,36,49,65,84,131,162,186,259,299,347,382,369,391,472,408,425,445,555,724,829,834,1034,1018,1062,830,794,609,582,437,414,396,420,417,447,409,406,364,336,318,322,278,288,157,169,160,129,69,39,51,54,79,84,91,92,86,58,69,55,60,86,122,100,86,127,185,216,349,382,407,396,419,519,484,456,412,441,400,421,478,464,553,564,548,570,598,624,647,577,623,677,878,982,1083,1093,1164,1083,1082,947,884,827,805,783,918,879,950,999,994,966,802,847,1010,936,894,741,823,739,718,684,723,628,509,413,318,226,168,132,130,117,98,83,93,84,83,91,106,103,80,59,85,103,93,104,88,102,118,114,127,133,170,190,198,256,340,449,498,574,578,553,505,473
Coquimbo,19,19,14,14,9,11,11,26,38,57,76,83,96,89,102,174,210,348,390,432,730,784,821,801,844,915,923,922,1035,971,1055,1090,1083,1091,1169,1146,1165,1130,1299,1300,1252,1034,996,862,915,719,621,455,504,500,492,377,326,285,273,167,150,129,104,92,71,91,86,100,128,183,218,205,262,266,260,333,335,344,245,324,300,408,504,611,626,749,786,878,905,977,1001,1010,942,943,970,1172,1233,1437,1478,1604,1512,1589,1587,1574,1469,1526,1404,1403,1325,1445,1316,1421,1354,1356,1269,1328,1282,1356,1324,1568,1605,1828,1783,1973,2072,2111,2005,2103,2036,1770,1498,1162,1065,929,824,781,609,491,432,437,355,313,280,251,239,222,162,141,137,150,139,129,118,119,105,151,214,237,207,176,202,199,227,319,424,506,559,556,667,761,715,754,801,794,722,586,537
Valparaíso,86,81,98,107,109,100,157,174,299,341,502,563,713,676,719,806,1110,1429,1576,1773,3056,3042,3367,3036,3099,2791,2878,2451,1809,1705,1683,1514,1562,1919,2153,2279,2402,2197,2184,2021,2171,2227,2266,2158,2176,1871,1504,1226,1421,1557,1619,1511,1537,1278,1321,888,816,702,642,653,704,752,692,690,673,720,774,806,815,846,839,1040,1116,1236,1100,1406,1481,2000,2258,2518,2226,2321,2221,2189,2055,1992,1823,1941,1914,2213,2176,2620,2893,3126,3203,3820,3949,4636,4935,5717,5988,6474,5704,5999,5873,6146,5806,5503,5077,5068,4327,4254,4037,4008,3796,4128,3825,4335,4444,4756,5119,5573,5218,5120,4825,4391,3849,3196,2917,2725,2486,2004,1550,1322,1180,1139,919,942,841,838,748,773,640,556,508,450,352,277,276,276,229,262,372,416,474,584,615,671,807,1001,1083,1253,1265,1248,1565,1966,2008,1904,1876,1774,1646,1341,1149
Metropolitana,1594,1514,1839,2019,2220,2727,4107,6022,8243,9331,12642,13330,16979,18002,17521,17849,16171,17988,19728,19154,33122,30379,27835,23683,21017,16885,15907,12939,11062,8741,7987,7010,6865,6714,6970,6700,6442,5619,5859,5517,5909,5625,5965,5526,5582,4827,4393,3954,4242,4360,4332,3916,3977,3718,3972,2723,2613,2488,2466,2464,2315,2337,2265,2389,2431,2543,2656,2833,2850,3142,3281,3944,3882,4025,3802,4977,4885,5872,6038,6701,6107,6501,6522,6629,6333,5698,5333,5899,5918,6373,6210,7304,7897,9210,10404,12784,13500,15737,16306,18481,19584,21389,20157,22276,22299,23263,21893,22559,21041,21564,19733,19940,18803,20142,20701,23196,22882,25249,25712,28171,29044,29606,26762,24325,20977,17530,14434,11299,9881,8780,7696,6380,5259,4900,4450,4521,4014,4117,3720,3750,3518,3506,2962,2967,2650,2485,2093,2016,1957,2162,1972,2707,3038,2802,2717,3259,3874,4433,5497,6738,7025,7878,7889,7528,7841,8466,7530,6528,5936,5027,4214,3225,2777
O’Higgins,9,9,9,9,29,35,51,59,72,101,172,239,212,204,183,149,208,242,294,409,1335,2088,2603,2609,2457,2159,2096,1803,1516,1219,1094,929,861,946,1204,1279,1160,1084,1104,1147,1187,1193,1197,1210,1331,1173,1087,1038,1049,1026,1018,950,967,839,945,660,575,472,413,390,370,389,388,354,367,388,355,370,392,439,400,454,527,548,514,672,681,928,1031,1085,1063,1273,1267,1444,1428,1235,1137,1159,1145,1129,1031,1299,1487,1672,1775,1922,1919,2215,2332,2523,2569,2803,2631,2765,2870,2961,2765,2627,2334,2425,2275,2291,2252,2238,2347,2747,2661,2804,2778,3146,3149,3039,2805,2607,2348,1906,1536,1244,1098,955,808,622,455,383,386,410,334,314,233,210,205,234,244,258,212,217,202,195,152,190,157,176,175,189,170,194,227,256,291,409,482,496,516,523,480,581,576,526,491,449,413,349,288
Maule,48,46,111,163,183,147,63,42,44,55,127,157,277,382,476,521,732,842,917,1047,1359,1458,1593,1481,1424,1336,1282,1202,1104,1062,1071,1012,932,860,926,929,909,860,880,837,930,959,1152,1270,1460,1382,1334,1284,1289,1205,1266,1077,1124,930,1065,673,604,631,602,602,528,581,552,601,517,542,515,499,513,628,771,941,1095,1237,1373,1593,1745,1935,1913,2406,2325,2364,2202,2279,2206,2237,2142,2175,1960,1804,1779,1984,2101,2190,2345,2568,2503,2783,3093,3601,3825,4075,4097,4389,4590,5012,4863,4821,4581,4493,4129,3827,3631,3643,3562,3775,3663,3991,3936,4033,3744,3705,3468,3381,3087,2623,2439,2112,1836,1500,1348,1129,1012,891,695,719,623,564,498,495,468,440,391,341,275,247,210,194,192,224,221,224,277,297,254,246,319,436,519,688,732,715,695,688,822,953,954,980,1058,942,840,689,621
Ñuble,183,133,102,82,77,68,51,57,43,55,101,187,182,252,251,222,253,309,348,400,675,632,626,479,495,588,682,688,640,414,355,283,281,313,350,406,404,416,517,695,851,904,927,843,968,909,838,653,650,588,548,470,417,389,428,338,348,324,323,322,313,390,429,476,492,500,458,500,488,512,521,553,540,626,704,828,744,751,813,920,907,1047,1089,1114,1078,1022,928,1000,1018,940,869,842,877,976,1047,1161,1142,1234,1298,1481,1487,1465,1306,1309,1366,1462,1388,1330,1263,1205,1196,1163,1092,1104,1140,1276,1160,1362,1345,1468,1414,1331,1309,1180,1100,903,797,682,587,561,518,438,330,267,284,281,229,202,175,191,190,157,122,99,79,84,104,107,84,75,78,113,102,101,129,138,153,193,204,221,244,258,239,236,240,356,380,384,380,465,508,451,409
