region,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-20,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09,2021-07-12,2021-07-16,2021-07-19,2021-07-23,2021-07-26,2021-07-30,2021-08-02,2021-08-06,2021-08-09,2021-08-13,2021-08-16,2021-08-20,2021-08-23,2021-08-27,2021-08-30,2021-09-03,2021-09-06,2021-09-10,2021-09-13,2021-09-17,2021-09-20,2021-09-24,2021-09-27,2021-10-01,2021-10-04,2021-10-08,2021-10-11,2021-10-15,2021-10-18,2021-10-22,2021-10-25,2021-10-29,2021-11-01,2021-11-05,2021-11-08,2021-11-12,2021-11-15,2021-11-19,2021-11-22,2021-11-26,2021-11-29,2021-12-03,2021-12-06,2021-12-10,2021-12-13,2021-12-17,2021-12-20,2021-12-24,2021-12-27,2021-12-31,2022-01-03,2022-01-07,2022-01-10,2022-01-14,2022-01-17,2022-01-21,2022-01-24,2022-01-28,2022-01-31,2022-02-04,2022-02-07,2022-02-11,2022-02-14,2022-02-18,2022-02-21,2022-02-25,2022-02-28,2022-03-04,2022-03-07,2022-03-11,2022-03-14,2022-03-18,2022-03-21,2022-03-25,2022-03-28,2022-04-01
Arica y Parinacota,10,11,12,12,22,22,23,25,29,33,39,43,52,59,69,76,80,82,87,97,102,108,110,117,122,129,136,139,142,149,149,154,158,160,162,168,174,179,180,184,193,198,199,202,205,207,208,210,215,217,219,221,222,225,226,231,232,234,237,240,244,254,256,261,262,264,267,271,276,286,288,294,297,306,314,330,336,350,370,383,391,397,403,408,413,419,423,433,448,435,438,441,450,460,466,475,479,487,495,506,516,523,536,543,548,557,560,561,566,573,584,587,595,600,602,601,591,590,596,602,608,608,612,614,617,620,622,626,627,630,635,637,639,642,648,652,656,658,662,663,666,669,671,672,675,677,682,686,692,695,697,694,693,695,697,699,700,707,709,710,711,715,717,718,718,720,722,726,730,740,748,754,772,780,795,811,824,833,853,858,869,878,888,891,896,899,908,912
Tarapacá,48,58,71,80,99,102,112,125,130,138,143,151,160,166,173,179,183,187,188,193,198,201,205,207,212,214,217,220,222,228,230,234,236,238,238,239,242,244,245,246,251,251,251,253,254,255,258,261,266,267,269,271,274,279,281,283,284,296,299,306,313,319,327,340,348,363,368,382,394,399,407,414,424,436,448,465,477,491,500,511,519,530,539,553,565,586,602,611,623,635,644,656,665,676,687,696,701,712,719,727,736,743,751,761,770,779,786,790,802,810,819,825,834,839,840,850,855,862,870,876,879,884,886,888,893,896,898,902,902,904,906,907,909,912,915,916,918,920,921,925,926,927,929,930,934,934,934,936,938,942,947,939,941,944,947,952,955,959,962,967,967,969,971,973,973,981,987,991,995,1004,1018,1035,1043,1066,1073,1087,1098,1108,1114,1122,1124,1133,1137,1141,1145,1148,1159,1165
Antofagasta,64,71,92,99,158,165,198,230,259,272,296,315,338,353,366,381,391,404,416,425,431,446,453,460,468,480,486,495,497,498,499,503,510,512,519,522,529,533,538,541,565,567,568,573,579,582,584,587,591,594,597,599,607,607,613,615,615,618,620,625,632,636,641,650,661,679,696,712,728,741,752,767,780,799,818,839,856,869,890,908,919,937,945,957,970,983,997,1008,1023,1029,1041,1050,1060,1069,1078,1088,1097,1110,1120,1128,1144,1151,1162,1176,1185,1200,1210,1218,1230,1241,1255,1266,1274,1283,1287,1302,1306,1316,1326,1334,1346,1354,1357,1365,1372,1376,1389,1400,1402,1406,1409,1418,1420,1426,1429,1435,1440,1446,1450,1451,1454,1461,1465,1468,1473,1478,1482,1491,1500,1506,1514,1521,1519,1526,1532,1540,1549,1553,1557,1563,1566,1569,1577,1587,1585,1594,1603,1609,1618,1626,1634,1640,1645,1668,1685,1708,1728,1751,1767,1774,1783,1797,1807,1814,1821,1829,1838,1849
Atacama,0,0,0,1,2,2,4,6,8,9,9,10,12,12,13,17,19,22,27,35,38,44,45,48,50,52,53,54,58,64,65,66,68,70,75,78,80,83,83,85,91,94,96,97,100,100,101,102,104,105,105,106,108,109,111,111,111,112,113,114,114,117,119,122,123,127,130,131,134,138,144,145,149,152,160,164,168,172,177,179,182,188,188,201,203,211,215,228,233,209,207,214,218,225,227,236,240,249,252,263,269,270,274,279,291,297,302,305,315,317,330,338,344,349,349,362,370,375,384,395,403,407,409,415,418,422,422,424,426,428,430,432,433,436,438,439,439,440,441,444,448,449,450,452,453,455,457,460,462,467,472,477,477,481,484,488,489,490,493,494,497,501,504,507,507,512,515,515,520,522,524,528,529,537,542,548,554,561,566,574,578,586,592,600,604,609,616,622
Coquimbo,9,11,16,17,28,28,34,38,43,52,56,61,64,70,75,80,86,95,102,114,124,131,141,154,164,177,184,195,200,211,218,223,227,234,236,239,246,248,249,251,265,268,275,275,277,278,280,282,287,291,292,293,299,306,309,310,313,318,321,324,329,335,338,343,347,355,362,373,381,390,401,405,413,426,444,468,476,494,518,537,564,576,593,618,630,651,665,682,711,708,711,725,738,757,769,781,790,801,813,831,849,868,882,898,914,937,955,972,996,1017,1043,1063,1082,1093,1103,1099,1110,1121,1130,1140,1153,1160,1171,1181,1188,1200,1208,1215,1218,1224,1236,1248,1251,1258,1259,1265,1267,1273,1279,1285,1294,1301,1306,1310,1316,1321,1328,1339,1346,1352,1357,1365,1373,1382,1391,1403,1407,1416,1423,1433,1438,1443,1454,1457,1457,1469,1478,1489,1493,1508,1516,1528,1542,1554,1570,1593,1616,1639,1662,1686,1708,1724,1740,1756,1771,1781,1798,1813
Valparaíso,114,121,147,167,254,272,331,374,399,430,448,475,495,525,550,575,598,624,649,669,686,713,744,774,801,819,842,864,877,898,915,942,967,992,1016,1033,1051,1079,1097,1111,1149,1164,1173,1187,1197,1210,1218,1235,1243,1254,1264,1272,1286,1300,1310,1326,1334,1357,1360,1379,1397,1411,1428,1447,1469,1491,1518,1549,1573,1595,1624,1653,1685,1713,1753,1812,1866,1926,1981,2031,2099,2145,2217,2275,2321,2390,2446,2509,2607,2551,2593,2651,2699,2750,2794,2850,2892,2943,2972,3021,3080,3133,3185,3251,3301,3357,3395,3453,3519,3577,3644,3691,3743,3775,3809,3863,3902,3947,3981,4009,4043,4072,4093,4122,4144,4182,4201,4221,4240,4254,4265,4282,4293,4313,4333,4346,4359,4373,4395,4410,4427,4451,4461,4473,4494,4505,4519,4532,4545,4569,4590,4638,4668,4654,4674,4702,4718,4733,4751,4769,4793,4802,4814,4827,4826,4860,4877,4897,4912,4939,4965,4995,5035,5073,5130,5198,5244,5309,5378,5457,5515,5575,5619,5669,5722,5772,5796,5826
Metropolitana,2473,2884,3558,3910,5190,5611,6140,6561,6874,7084,7283,7471,7632,7793,7932,8081,8181,8281,8372,8483,8573,8701,8776,8877,8956,9057,9134,9218,9263,9365,9454,9533,9601,9692,9764,9830,9880,9975,10024,10083,10260,10332,10393,10468,10519,10581,10617,10685,10734,10789,10838,10896,10950,11000,11056,11121,11153,11239,11275,11358,11420,11477,11533,11600,11684,11749,11828,11890,11961,12058,12146,12237,12311,12396,12576,12706,12844,13007,13136,13318,13501,13611,13789,13929,14111,14306,14467,14674,14943,14869,15043,15282,15446,15662,15862,16059,16231,16470,16659,16913,17139,17421,17660,17950,18196,18520,18764,19038,19295,19585,19858,20117,20331,20540,20742,20905,21051,21234,21342,21506,21642,21801,21922,22030,22155,22250,22373,22447,22520,22617,22687,22761,22840,22925,22984,23061,23112,23192,23247,23340,23398,23485,23543,23633,23701,23791,23881,23979,24065,24179,24253,24407,24543,24595,24621,24692,24754,24825,24921,24983,25050,25140,25196,25274,25269,25392,25469,25532,25578,25658,25734,25844,25944,26157,26325,26571,26731,26985,27180,27389,27547,27749,27901,28095,28236,28362,28496,28654
O’Higgins,27,30,42,48,79,81,107,129,141,160,180,200,221,237,253,263,279,293,300,310,320,327,337,344,349,358,369,382,385,405,417,423,430,439,445,457,473,488,491,496,512,516,522,526,532,537,541,551,560,565,571,576,580,583,590,591,597,602,608,615,621,635,644,650,660,671,685,702,718,737,749,765,775,787,806,823,846,876,895,925,954,976,993,1010,1024,1056,1080,1097,1121,1123,1139,1159,1180,1203,1223,1241,1262,1279,1285,1313,1334,1372,1397,1426,1451,1481,1507,1525,1556,1577,1608,1632,1654,1670,1682,1706,1721,1734,1750,1763,1775,1784,1791,1799,1810,1819,1830,1835,1844,1851,1863,1879,1881,1889,1892,1901,1906,1914,1923,1928,1933,1941,1952,1960,1970,1980,1993,2005,2015,2024,2030,2056,2044,2052,2059,2071,2070,2077,2085,2097,2108,2118,2123,2131,2131,2151,2157,2166,2176,2187,2196,2211,2220,2240,2255,2281,2299,2324,2351,2378,2401,2429,2466,2494,2516,2534,2554,2571
Maule,18,22,24,29,50,56,78,96,114,121,127,133,157,173,190,194,200,213,223,233,251,258,261,268,273,282,287,295,301,311,316,328,345,357,368,373,380,395,400,414,429,431,447,454,460,468,478,494,497,509,511,514,525,531,539,550,554,565,578,586,606,621,643,662,675,696,723,740,758,775,803,819,843,859,881,898,928,956,978,1005,1049,1075,1101,1131,1153,1195,1223,1258,1318,1243,1264,1291,1332,1364,1395,1423,1451,1482,1512,1538,1575,1591,1618,1638,1672,1705,1724,1741,1772,1782,1811,1831,1871,1883,1901,1922,1950,1963,1989,1999,2010,2025,2039,2057,2068,2074,2083,2096,2102,2104,2112,2118,2126,2129,2137,2141,2152,2157,2165,2168,2179,2184,2196,2201,2211,2216,2229,2236,2246,2255,2268,2289,2291,2306,2315,2330,2343,2357,2363,2384,2393,2408,2418,2421,2420,2436,2446,2451,2460,2469,2473,2484,2501,2525,2544,2585,2622,2641,2696,2732,2795,2853,2893,2932,2969,3020,3050,3075
Ñuble,20,22,25,28,38,39,42,46,51,51,53,58,59,62,63,68,69,71,73,75,75,76,78,81,84,90,95,101,103,110,113,119,122,124,129,132,136,139,142,144,156,160,162,165,167,172,175,179,181,187,187,193,197,201,208,216,218,224,226,232,235,243,249,251,260,267,276,287,291,303,308,319,322,328,339,371,384,407,431,454,465,474,490,498,505,522,527,535,552,500,497,506,510,519,527,535,539,546,554,575,587,600,612,626,633,647,656,663,670,677,689,702,706,710,717,729,737,740,746,751,754,755,758,763,764,766,770,777,778,779,785,792,794,802,807,808,811,815,821,824,828,834,837,841,845,850,855,855,864,870,875,890,893,895,900,906,910,914,920,922,926,928,933,936,936,942,946,952,958,963,967,974,989,998,1012,1034,1042,1060,1071,1092,1107,1122,1135,1159,1183,1188,1213,1224
