Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,398,20,18,2,7,"0,86%"
Tarapacá,1.056,81,73,8,4,"2,29%"
Antofagasta,1.589,84,70,14,14,"3,45%"
Atacama,157,8,5,3,0,"0,34%"
Coquimbo,212,18,13,5,2,"0,46%"
Valparaíso,1.553,79,70,9,30,"3,37%"
Metropolitana,34.451,1.767,1.596,171,294,"74,80%"
O’Higgins,418,52,33,19,6,"0,91%"
Maule,602,29,23,6,14,"1,31%"
Ñuble,985,43,37,6,21,"2,14%"
Biobío,1.144,45,40,5,9,"2,48%"
Araucanía,1.639,33,28,5,44,"3,56%"
De los Ríos,224,4,3,1,6,"0,49%"
De los Lagos,652,5,1,4,11,"1,42%"
Aysén,8,0,0,0,0,"0,02%"
Magallanes,971,10,8,2,16,"2,11%"
Total,46.059,2.278,2.018,260,478,100%
