Region,Casos totales acumulados, Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*, Fallecidos, % Total
Arica - Parinacota,498,16,13,3,7,"0,72%"
Tarapacá,1.564,93,85,8,7,"2,26%"
Antofagasta,1.947,50,40,10,21,"2,82%"
Atacama,182,0,0,0,0,"0,26%"
Coquimbo,323,29,25,4,2,"0,47%"
Valparaíso,2.230,114,99,15,48,"3,23%"
Metropolitana,54.544,3.145,2.859,286,494,"78,93%"
O’Higgins,554,36,28,8,11,"0,80%"
Maule,892,69,65,4,15,"1,29%"
Ñuble,1.102,25,23,2,21,"1,59%"
Biobío,1.414,60,51,9,10,"2,05%"
Araucanía,1.808,34,26,8,45,"2,62%"
De los Ríos,290,16,11,5,6,"0,42%"
De los Lagos,736,9,6,3,13,"1,07%"
Aysén,8,0,0,0,0,"0,01%"
Magallanes,1.010,13,12,1,18,"1,46%"
Total,69.102,3.709,3.343,366,718,100%
