Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos totales, % Total
Arica - Parinacota,782,46,40,6,9,"0,64%"
Tarapacá,2.965,155,139,16,28,"2,42%"
Antofagasta,2.924,62,53,9,42,"2,39%"
Atacama,269,11,8,3,0,"0,22%"
Coquimbo,832,60,37,23,5,"0,68%"
Valparaíso,4.266,249,233,16,88,"3,48%"
Metropolitana,99.066,3.176,2.888,288,1.105,"80,87%"
O’Higgins,1.016,49,45,4,22,"0,83%"
Maule,1.834,102,96,6,24,"1,50%"
Ñuble,1.429,57,52,5,24,"1,17%"
Biobío,2.379,78,67,11,13,"1,94%"
Araucanía,2.288,106,89,17,48,"1,87%"
De los Ríos,390,11,7,4,8,"0,32%"
De los Lagos,968,42,35,7,13,"0,79%"
Aysén,19,0,0,0,0,"0,02%"
Magallanes,1.072,3,1,2,19,"0,88%"
Total,122.499,4.207,3.790,417,1.448,100%
