Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con síntomas,Casos nuevos sin síntomas*,Fallecidos totales,% Casos del total de acumulados
Arica - Parinacota,914,40,39,1,8,"0,64%"
Tarapacá,3.491,99,89,10,35,"2,45%"
Antofagasta,3.402,157,134,23,45,"2,38%"
Atacama,348,9,7,2,0,"0,24%"
Coquimbo,1.175,52,43,9,5,"0,82%"
Valparaíso,5.391,242,223,19,85,"3,78%"
Metropolitana,115.126,2.990,2.789,201,1.968,"80,64%"
O’Higgins,1.317,62,57,5,23,"0,92%"
Maule,2.289,113,92,21,18,"1,60%"
Ñuble,1.584,32,22,10,18,"1,11%"
Biobío,2.694,43,37,6,11,"1,89%"
Araucanía,2.445,35,28,7,32,"1,71%"
De los Ríos,446,21,18,3,8,"0,31%"
De los Lagos,1.028,18,9,9,12,"0,72%"
Aysén,21,0,0,0,0,"0,01%"
Magallanes,1.088,0,0,0,15,"0,76%"
Total,142.759,3.913,3.587,326,2.283,100%
